account,post,tag,likes,comments
dijait.id,We are open!,[],5,[]
dijait.id," JAIT.ID 

Mau pake baju atau celana yang sobek tapi belum dibetulkan? Atau kamu beli baju nggak pas sama ukuran badan kamu?

Kini kami hadir untuk mengatasinya! JAIT.ID bisa melayani untuk memperbaiki pakaian kamu lho!

Cukup pesan memalui media sosial kami, dan kami akan datang ke anda! Harganya sesuai kantong deh!

Jahit Robek : 15 - 20k IDR
Mengecilkan pakaian: 20 - 60k IDR
Potong:  20 - 30k IDR

Untuk 3 pemesan pertama akan mendapatkan diskon 50%, AYO BURUAN PESAN! 

WA : http://bit.ly/HaloJaitid
IG : @dijait.id
FB : @benangjaitid

Menerima dan melayani antar jemput pesanan di Kampus A UNJ dan daerah sekitarnya
JAIT.ID 2019",[],5,[]
dijait.id,We are open!,[],4,[]
hydropon.id,"Halo sobat hydropon!
Sudah lama kita gak berjumpa!
.
Kita hadir lagi nih buat ngasih ilmu ke kalian tentang sejarah hidroponik di Indonesia.
kalian udah tau belum? yuk cek di gambar!
.
#hidroponik #indonesia #hidroponikindonesia #hidropon #hydropon #hydroponic #indonesiahidroponik #tanamanhidroponik #tanaman","['hidroponik', 'indonesia', 'hidroponikindonesia', 'hidropon', 'hydropon', 'hydroponic', 'indonesiahidroponik', 'tanamanhidroponik', 'tanaman']",15,[]
hydropon.id,"Hai, teman-teman! 

Tahukah kalian? Siapa pencetus nama hidroponik?

Beliau adalah seorang agronomis dari universitas california, USA.
Pada tahun 1936 istilah hidroponik lahir seiring dengan berhasilnya eksperimen DR. WF. Gericke yang berupa tanaman tomat setinggi tiga meter.

Keren bukan? yuk mulai mengenal hidroponik!

#hidroponik
#YukMengenalHidroponik
#Hydropon","['hidroponik', 'yukmengenalhidroponik', 'hydropon']",6,[]
hydropon.id,"Hai, teman-teman! 

Tahukah kalian?

Hidroponik adalah salah satu cara budidaya tanaman tanpa menggunakan tanah looh!

Budidaya hidroponik hanya menggunakan media air dan menekankan pada pemenuhan nutrisi bagi tanaman. Tanaman dapat tumbuh dengan subur dan menghasilkan buah secara lebih cepat walaupun tanpa menggunakan tanah sebagai media tanamnya, Tanaman akan selalu tumbuh baik jika nutrisinya terpenuhi. 

Keren bukan? yuk mulai mengenal hidroponik!

#hidroponik
#YukMengenalHidroponik
#Hydropon

===============================
sumber: Wikipedia & Pengertianku.net","['hidroponik', 'yukmengenalhidroponik', 'hydropon']",2,[]
privat.in_id,"Yuk, Daftar jadi tutor di privat.in! GRATIS!!",[],12,[]
privat.in_id,nihh cara untuk kamu daftar sebagai tutor ataupun murid di privat.in! gampang banget kann? yuk klik link nya di profile kita!,[],6,[]
privat.in_id,"buat kamu yang cari guru privat, gampang banget nih tinggal klik link nya profile kita",[],5,[]
privat.in_id,"[CARI GURU PRIVAT? PRIVAT.IN AJA!] Kalian yang sedang berada di bangku sekolah, suka bingung gak sih sama pelajaran-pelajaran yang ada di sekolah?

Pengen punya guru privat tapi bingung nyarinya?

Wah, sekarang gak perlu ribet!

Kami, PRIVAT.IN hadir sebagai solusi! PRIVAT.IN menyediakan guru-guru privat untuk jenjang pendidikan SD-SMP-SMA di berbagai bidang pelajaran  
 .
More info:
 : 085215837197

PRIVAT.IN
.
.
#guruprivat #cariguruprivat #cariguru","['guruprivat', 'cariguruprivat', 'cariguru']",9,[]
privat.in_id,"[CARI GURU PRIVAT? PRIVAT.IN AJA!] Kalian yang sedang berada di bangku sekolah, suka bingung gak sih sama pelajaran-pelajaran yang ada di sekolah?

Pengen punya guru privat tapi bingung nyarinya?

Wah, sekarang gak perlu ribet!

Kami, PRIVAT.IN hadir sebagai solusi! PRIVAT.IN menyediakan guru-guru privat untuk jenjang pendidikan SD-SMP-SMA di berbagai bidang pelajaran  
 .
More info:
 : 085215837197

PRIVAT.IN
.
.
#guruprivat #cariguruprivat #cariguru","['guruprivat', 'cariguruprivat', 'cariguru']",4,[]
privat.in_id,"[CARI GURU PRIVAT? PRIVAT.IN AJA!] Kalian yang sedang berada di bangku sekolah, suka bingung gak sih sama pelajaran-pelajaran yang ada di sekolah?

Pengen punya guru privat tapi bingung nyarinya?

Wah, sekarang gak perlu ribet!

Kami, PRIVAT.IN hadir sebagai solusi! PRIVAT.IN menyediakan guru-guru privat untuk jenjang pendidikan SD-SMP-SMA di berbagai bidang pelajaran  
 .
More info:
 : 085215837197

PRIVAT.IN
.
.
#guruprivat #cariguruprivat #cariguru","['guruprivat', 'cariguruprivat', 'cariguru']",4,[]
ghuzma.store,"Rok Umbrella Senti 
(((Coklat Tua)))
-
Bahan Velvet Premium
LP 66-100 cm (pinggang karet, klok lebar, tidak nerawang, bahan bagus tebal)
P 95 cm
-
Rp130.000,00 (harga satuan)
-
#rok #rokvelvet #rokumbrella #jualrok #rokpremium #rokklok #rokpanjang #rokbagus #rokmewah #roklebaran #rokkondangan #rokpinggangkaret #rokprisket #rokplisket #rokprisketpanjang #rokplisketpremium #rokaline #rokrempel #roklebaran2020 #hijaber #ukhti #olshopbekasi #bajukerja #bajulebaran #bajukuliah #bajukondangan #bajulebaran2020","['rok', 'rokvelvet', 'rokumbrella', 'jualrok', 'rokpremium', 'rokklok', 'rokpanjang', 'rokbagus', 'rokmewah', 'roklebaran', 'rokkondangan', 'rokpinggangkaret', 'rokprisket', 'rokplisket', 'rokprisketpanjang', 'rokplisketpremium', 'rokaline', 'rokrempel', 'roklebaran2020', 'hijaber', 'ukhti', 'olshopbekasi', 'bajukerja', 'bajulebaran', 'bajukuliah', 'bajukondangan', 'bajulebaran2020']",1,[]
ghuzma.store,"Rok Umbrella Senti 
(((Navy)))
-
Bahan Velvet Premium
LP 66-100 cm (pinggang karet, klok lebar, tidak nerawang, bahan bagus tebal)
P 95 cm
-
Rp130.000,00 (harga satuan)
-
#rok #rokvelvet #rokumbrella #jualrok #rokpremium #rokklok #rokpanjang #rokbagus #rokmewah #roklebaran #rokkondangan #rokpinggangkaret #rokprisket #rokplisket #rokprisketpanjang #rokplisketpremium #rokaline #rokrempel #roklebaran2020 #hijaber #ukhti #olshopbekasi #bajukerja #bajulebaran #bajukuliah #bajukondangan #bajulebaran2020","['rok', 'rokvelvet', 'rokumbrella', 'jualrok', 'rokpremium', 'rokklok', 'rokpanjang', 'rokbagus', 'rokmewah', 'roklebaran', 'rokkondangan', 'rokpinggangkaret', 'rokprisket', 'rokplisket', 'rokprisketpanjang', 'rokplisketpremium', 'rokaline', 'rokrempel', 'roklebaran2020', 'hijaber', 'ukhti', 'olshopbekasi', 'bajukerja', 'bajulebaran', 'bajukuliah', 'bajukondangan', 'bajulebaran2020']",1,[]
ghuzma.store,"Rok Umbrella Senti 
(((PINK)))
-
Bahan Velvet Premium
LP 66-100 cm (pinggang karet, klok lebar, tidak nerawang, bahan bagus tebal)
P 95 cm
-
Rp130.000,00 (harga satuan)
-
#rok #rokvelvet #rokumbrella #jualrok #rokpremium #rokklok #rokpanjang #rokbagus #rokmewah #roklebaran #rokkondangan #rokpinggangkaret #rokprisket #rokplisket #rokprisketpanjang #rokplisketpremium #rokaline #rokrempel #roklebaran2020 #hijaber #ukhti #olshopbekasi #bajukerja #bajulebaran #bajukuliah #bajukondangan #bajulebaran2020","['rok', 'rokvelvet', 'rokumbrella', 'jualrok', 'rokpremium', 'rokklok', 'rokpanjang', 'rokbagus', 'rokmewah', 'roklebaran', 'rokkondangan', 'rokpinggangkaret', 'rokprisket', 'rokplisket', 'rokprisketpanjang', 'rokplisketpremium', 'rokaline', 'rokrempel', 'roklebaran2020', 'hijaber', 'ukhti', 'olshopbekasi', 'bajukerja', 'bajulebaran', 'bajukuliah', 'bajukondangan', 'bajulebaran2020']",1,[]
ghuzma.store,"Rok Umbrella Senti 
-
Bahan Velvet Premium
LP 66-100 cm (pinggang karet, klok lebar, tidak nerawang, bahan bagus tebal)
P 95 cm
-
Rp130.000,00 (harga satuan)
-
#rok #rokvelvet #rokumbrella #jualrok #rokpremium #rokklok #rokpanjang #rokbagus #rokmewah #roklebaran #rokkondangan #rokpinggangkaret #rokprisket #rokplisket #rokprisketpanjang #rokplisketpremium #rokaline #rokrempel #roklebaran2020 #hijaber #ukhti #olshopbekasi #bajukerja #bajulebaran #bajukuliah #bajukondangan #bajulebaran2020","['rok', 'rokvelvet', 'rokumbrella', 'jualrok', 'rokpremium', 'rokklok', 'rokpanjang', 'rokbagus', 'rokmewah', 'roklebaran', 'rokkondangan', 'rokpinggangkaret', 'rokprisket', 'rokplisket', 'rokprisketpanjang', 'rokplisketpremium', 'rokaline', 'rokrempel', 'roklebaran2020', 'hijaber', 'ukhti', 'olshopbekasi', 'bajukerja', 'bajulebaran', 'bajukuliah', 'bajukondangan', 'bajulebaran2020']",2,[]
ghuzma.store,"Rok Umbrella Senti 
(Detail Warna)
-
Bahan Velvet Premium
LP 66-100 cm (pinggang karet, klok lebar, tidak nerawang, bahan bagus tebal)
P 95 cm
-
Rp130.000,00 (harga satuan)
-
#rok #rokvelvet #rokumbrella #jualrok #rokpremium #rokklok #rokpanjang #rokbagus #rokmewah #roklebaran #rokkondangan #rokpinggangkaret #rokprisket #rokplisket #rokprisketpanjang #rokplisketpremium #rokaline #rokrempel #roklebaran2020 #hijaber #ukhti #olshopbekasi #bajukerja #bajulebaran #bajukuliah #bajukondangan #bajulebaran2020","['rok', 'rokvelvet', 'rokumbrella', 'jualrok', 'rokpremium', 'rokklok', 'rokpanjang', 'rokbagus', 'rokmewah', 'roklebaran', 'rokkondangan', 'rokpinggangkaret', 'rokprisket', 'rokplisket', 'rokprisketpanjang', 'rokplisketpremium', 'rokaline', 'rokrempel', 'roklebaran2020', 'hijaber', 'ukhti', 'olshopbekasi', 'bajukerja', 'bajulebaran', 'bajukuliah', 'bajukondangan', 'bajulebaran2020']",2,[]
ghuzma.store,"Rok Umbrella Senti 
-
Bahan Velvet Premium
LP 66-100 cm (pinggang karet, klok lebar, tidak nerawang, bahan bagus tebal)
P 95 cm
-
Rp130.000,00 (harga satuan)
-
#rok #rokvelvet #rokumbrella #jualrok #rokpremium #rokklok #rokpanjang #rokbagus #rokmewah #roklebaran #rokkondangan #rokpinggangkaret #rokprisket #rokplisket #rokprisketpanjang #rokplisketpremium #rokaline #rokrempel #roklebaran2020 #hijaber #ukhti #olshopbekasi #bajukerja #bajulebaran #bajukuliah #bajukondangan #bajulebaran2020","['rok', 'rokvelvet', 'rokumbrella', 'jualrok', 'rokpremium', 'rokklok', 'rokpanjang', 'rokbagus', 'rokmewah', 'roklebaran', 'rokkondangan', 'rokpinggangkaret', 'rokprisket', 'rokplisket', 'rokprisketpanjang', 'rokplisketpremium', 'rokaline', 'rokrempel', 'roklebaran2020', 'hijaber', 'ukhti', 'olshopbekasi', 'bajukerja', 'bajulebaran', 'bajukuliah', 'bajukondangan', 'bajulebaran2020']",3,[]
ghuzma.store,"Warnai harimu dengan koleksi dari Ghuzma Store 

Nantikan produk kami ya!",[],0,[]
ghuzma.store,"Warnai harimu dengan koleksi dari Ghuzma Store 

Nantikan produk kami ya!",[],0,[]
ghuzma.store,"Warnai harimu dengan koleksi dari Ghuzma Store 

Nantikan produk kami ya!",[],0,[]
jagogeming,"Di #JGNews kali ini, kuy kita lihat apa saja game-game yang akan dirilis dibulan Oktober 2019 ini. Berikut 5 Game menarik yang akan rilis dibulan Oktober 2019 versi @jagogeming Let's Go!! #game #gaming #callofduty #codmobile #tomclancy #thewitcher3 #wwe #wwe2k20 #wwe2k19 #2k #modernwarfare #activision #ubisoft #gamergirl #gameday #games #gamer #gamerguy #gamestagram #JagoGeming #JGNews","['jgnews', 'game', 'gaming', 'callofduty', 'codmobile', 'tomclancy', 'thewitcher3', 'wwe', 'wwe2k20', 'wwe2k19', '2k', 'modernwarfare', 'activision', 'ubisoft', 'gamergirl', 'gameday', 'games', 'gamer', 'gamerguy', 'gamestagram', 'jagogeming', 'jgnews']",38,"['Call of Duty Mobile is out now on all mobile platforms.\nCheck our page for latest updates , news and reviews. @codutymobile ', 'Keren', 'Wawwww', 'Bang followback dong']"
wewcoklat,"Duh cruncynya rice crispy dibalut dengan matcha bikin jatuh cinta ...
.
.
.
#coklat #coklatjar #coklatlumer #coklatenak #chocolate","['coklat', 'coklatjar', 'coklatlumer', 'coklatenak', 'chocolate']",13,[]
wewcoklat,"Tahukah kamu bahwa coklat dari wew coklat dipilih yang terbaik untuk menciptakan coklat premium yg bakal kamu nikmati sendirian. Nyesel sih bagi bagi.
.
.
.
.
#wewcoklat #coklat #coklatenak #coklatlumer #jktinfo #jktfood #coklatjar #dapurcoklat #foodstagram #makanankekinian #jajananhits @nexcarlos @jktfoodbang @jktfooddestination #lumer #ngiler","['wewcoklat', 'coklat', 'coklatenak', 'coklatlumer', 'jktinfo', 'jktfood', 'coklatjar', 'dapurcoklat', 'foodstagram', 'makanankekinian', 'jajananhits', 'lumer', 'ngiler']",15,[]
wewcoklat,"Kebayang gak sih coklat yang enak itu klo kamu makan? .
.
.
.
#wewcoklat #coklat #coklatenak #coklatlumer #jktinfo #jktfood #coklatjar #dapurcoklat #foodstagram #makanankekinian #jajananhits @nexcarlos @jktfoodbang @jktfooddestination #lumer #ngiler","['wewcoklat', 'coklat', 'coklatenak', 'coklatlumer', 'jktinfo', 'jktfood', 'coklatjar', 'dapurcoklat', 'foodstagram', 'makanankekinian', 'jajananhits', 'lumer', 'ngiler']",11,[]
wewcoklat,"Wew dikemas ke dalam gelas jar yang sangat mungil bgts.. kamu bisa pake lagi buat minum, buat naro cupang dan lain lain agar selalu #savetheearth.
.
.
.
#wewcoklat #coklat #coklatenak #coklatlumer #jktinfo #jktfood #coklatjar #dapurcoklat #foodstagram #makanankekinian #jajananhits @nexcarlos @jktfoodbang @jktfooddestination #lumer #ngiler","['savetheearth', 'wewcoklat', 'coklat', 'coklatenak', 'coklatlumer', 'jktinfo', 'jktfood', 'coklatjar', 'dapurcoklat', 'foodstagram', 'makanankekinian', 'jajananhits', 'lumer', 'ngiler']",17,['Cupang banget ya min']
wewcoklat,"Haiii kalian semua wewlovers yang setia! kalian tau gaa? Sekarang WEW COKLAT ada varian rasa baru lohh!
.
Rasa manisnya COKLAT STROBERI yang menimbulkan sensasi unik dimulut dan dicampur dengan rice crispy yang renyah dijamin membuat kalian ketagihan 
.
yukk order sekarang jugaa",[],8,[]
wewcoklat,"Haiii kalian semua wewlovers yang setia! kalian tau gaa? Sekarang WEW COKLAT ada varian rasa baru lohh!
.
Rasa manisnya COKLAT STROBERI yang menimbulkan sensasi unik dimulut dan dicampur dengan rice crispy yang renyah dijamin membuat kalian ketagihan 
.
yukk order sekarang jugaa",[],11,[]
wewcoklat,"Haiii kalian semua wewlovers yang setia! kalian tau gaa? Sekarang WEW COKLAT ada varian rasa baru lohh!
.
Rasa manisnya COKLAT STROBERI yang menimbulkan sensasi unik dimulut dan dicampur dengan rice crispy yang renyah dijamin membuat kalian ketagihan 
.
yukk order sekarang jugaa",[],12,[]
wewcoklat,"Ga kebayang manisnya white coklat dicampur dengan oreo, ditambah rice crispy dua rasa dan oreo bulat, aduh makin makin deh, apa lagi makannya buat nemenin santuy, aduh makin ajib deh
.
.
Sekali coba langsung jatuh cinta
.
#wewcoklat #coklat #coklatenak #coklatlumer #jktinfo #jktfood #coklatjar #dapurcoklat #foodstagram #makanankekinian #jajananhits @nexcarlos @jktfoodbang @jktfooddestination #lumer #ngiler","['wewcoklat', 'coklat', 'coklatenak', 'coklatlumer', 'jktinfo', 'jktfood', 'coklatjar', 'dapurcoklat', 'foodstagram', 'makanankekinian', 'jajananhits', 'lumer', 'ngiler']",13,['Mau dong kak']
wewcoklat,"Ga kebayang kelezatan Wew Coklat rasa MATCHA. Apa lagi dibarengi dengan renyahnya rice crispy dua rasa. Yakin deh, nyesel kalau kalian ga cobain!
.
Kuy diborong!
.
.
.
.
#wewcoklat #coklat #coklatenak #coklatlumer #jktinfo #jktfood #coklatjar #dapurcoklat #foodstagram #makanankekinian #jajananhits @nexcarlos @jktfoodbang @jktfooddestination #lumer #ngiler","['wewcoklat', 'coklat', 'coklatenak', 'coklatlumer', 'jktinfo', 'jktfood', 'coklatjar', 'dapurcoklat', 'foodstagram', 'makanankekinian', 'jajananhits', 'lumer', 'ngiler']",18,['Mau dong ']
wewcoklat,"Tahukah kamu kalo sekarang Wew Coklat kemasannya udah baru loh! Pastinya lebih simpel dan fresh dong
.
Yuk nikmati Wew Coklat dimana aja seenak kamu, pokoknya seenak kamu aja dah. .
Sekali coba langsung jatuh cinta
.
.
.
.
#wewcoklat #coklat #coklatenak #coklatlumer #jktinfo #jktfood #coklatjar #dapurcoklat #foodstagram #makanankekinian #jajananhits @nexcarlos @jktfoodbang @jktfooddestination #lumer #ngiler","['wewcoklat', 'coklat', 'coklatenak', 'coklatlumer', 'jktinfo', 'jktfood', 'coklatjar', 'dapurcoklat', 'foodstagram', 'makanankekinian', 'jajananhits', 'lumer', 'ngiler']",11,"['Kalo mau, hubungin nya kemana?']"
wewcoklat,"Banyak tugas, kegiatan, beribadah dan deadline adalah faktor pewarna dalam timeline hidup kita. Tapi diantara padatnya aktivitas, ada kalanya kita sebagai human general butuh kesunyian, kesendirian, pelukan hangat dari yang terkasih dan penyejuk hati.
.
Coba Milk Chocolate dari WewCoklat, Karena dekapan tulus hanya dari Wew.
.
#MadeforHeart
.
.

#coklat #coklatenak #coklatlumer
#jktfood #jktinfo","['madeforheart', 'coklat', 'coklatenak', 'coklatlumer', 'jktfood', 'jktinfo']",11,[]
wewcoklat,"Saya tidak tahu mengapa orang-orang mengerjakan sesuatu yang tidak ada tujuannya. Lalu dibuatnya seolah-olah penting dan berguna. 'Saya sibuk' - adalah alasan pasti dari sang pecundang. Apakah sang pecundang itu ternyata saya?
. 
Tenang, sudah saatnya kami bantu ada dalam membuat lifeplan. Karena membuatnya membutuhkan inspirasi dan pengalaman, White Oreo dari WewCokelat dapat menemani dan membantu anda dalam menggali insight anda. Karena percaya, anda-lah orang hebat itu.
.
Coba Sekarang dan Percayalah.
.
#MadeForHeart
.
#coklat #coklatlumer #wewcoklat
#jktfood #jktinfo","['madeforheart', 'coklat', 'coklatlumer', 'wewcoklat', 'jktfood', 'jktinfo']",12,[]
wewcoklat,"Tahukah kamu jika ternyatamatchadan green tea itu aslinya berbeda? Meski mereka berasal dari tanaman yang sama bernama Cameliia Sinensis, rupanya matcha dan green tea ini berbeda lho. Perbedaan mendasar keduanya terletak pada cara mengolah dan warna yang dihasilkan.
.

Rasakan lezatnya matcha meleleh dari wew cokelat. Jangan salahkan kami jika ketagihan :)
.
.
#laperbaper #mukbang #kuliner #anakjajan #jktfood #coklatlumer #makanenak #anakjajan #kulinerjakarta #kulinerbandung #tasty #foodies #foodpic","['laperbaper', 'mukbang', 'kuliner', 'anakjajan', 'jktfood', 'coklatlumer', 'makanenak', 'anakjajan', 'kulinerjakarta', 'kulinerbandung', 'tasty', 'foodies', 'foodpic']",22,['hi! please go click the link in my bio for an amazing mukbang compilation! ']
pejuang.mimpi98,Comennya kawan,[],7,[]
pejuang.mimpi98,ooopppp ,[],8,[]
pejuang.mimpi98,The Big Four,[],11,['Mantap bapenta penginapan..']
pejuang.mimpi98,tuh guy :D,[],6,[]
artirtn,"Terimakasih pengalamannya Soundsfest! #SOUNDSFEST2019 .
.
.
Belum basi kan ya..",['soundsfest2019'],237,"['blm basi sih cm agak telat aja... asti', 'alhamdulillah udah september ini sis', 'allhamdulillah ada akunyaaa']"
artirtn,"Selamat Lebaran!
.
.
Cucu mbah akhirnya bisa full team!",[],232,"['Hampir gabisa bedain mana lu mana kaka lu wkwk', 'Minal aidzin artii', 'Ati meuni geulis', 'Ewh. Dada paling cantik', 'Followback kak arti ', 'Ti boleh follback dong ', 'A WWW. PERFECTLIKER .COM', 'follback dan likeback yo kak udah difollow kok']"
artirtn, C H I N A  T O W N ,[],108,[]
artirtn,Feelin' kinda geeky,[],230,"['arti riyadi?!?!?!!', 'Artiih sudah besar', '', 'Cantikkk', 'Yg kyk begini masih sendiri??', 'Adiks sendiri aja diks haha', 'Masyaallah', 'Kebanyakan pilih2 kom wkwk @komalland', 'gamau komen cakep', 'Badai sekali', 'aku tau kamu mau pamer kutek', 'Cantiknyaaaaa', '@artirtn minya temenin sm yg itu lah ti wkwkw', 'Folback yaa', '@artirtn', 'ti cek email', 'ti, sering buka email dong']"
artirtn,"Exactly 2 months ago
.
.
.
.
.
.
Muka masih bahagia belum bertemu jadwal kuliah senin sampe sabtu",[],160,"['bahagia dong kan abis liat sunrise yang sangat indahhh', 'Duh auto focus ke sendal saya', 'Gua keren nih disini', 'ih ngikutin fotonya', 'wisnu komuknya terang bgt', '@revaldoaldo9 ajg lu do', '', '@artirtn follback boleh?']"
